Feature,SHAP Value,Source
MtdModSTATIC,0.0042857142857142,10
MtdNmCtnSaniti,0.0028571428571428,10
MtdReplacInvkd,0.0028571428571428,10
MtdNmCtnEncodNotEncoding,0.0021428571428571,10
MtdNmCtnReplac,0.0014285714285714,10
ClsFINAL,0.0014285714285714,10
MtdNmStrtHas,0.0,10
MtdNmCtnVerif,0.0,10
ClsSTATIC,0.0,10
MtdModPUBLIC,0.0,10
MtdNmCtnUnescape,0.0,10
ParamTypCtnCharsequence,0.0,10
MtdEscapInvkd,0.0,10
MtdNmCtnStrip,0.0,10
ClasRegexInvkd,0.0,10
MtdNmCtnEscapeNotUnescape,0.0,10
ClsPUBLIC,0.0,10
ClsNmCtnEncod,0.0,10
ParamDfRtn,0.0,10
ParamTypCtnStr,0.0,10
ClasSanitiInvkd,0.0,10
MtdStripInvkd,0.0,10
MtdNmCtnRegex,0.0,10
ImplicitMtd,0.0,10
MtdConstructor,0.0,10
MtdNmStrtSet,0.0,10
RtnTypCharsequence,0.0,10
ClsNmCtnSaniti,0.0,10
MtdEncodInvkd,0.0,10
ClasEncodInvkd,0.0,10
ClsNmCtnValid,0.0,10
ClsNmEndsEncoder,0.0,10
RtnTypByte[],0.0,10
MtdRegexInvkd,0.0,10
MtdSanitiInvkd,0.0,10
MtdCtnParams,0.0,10
ClsNmCtnPage,0.0,10
MtdModFINAL,0.0,10
MtdNmStrtGet,0.0,10
ParamTypCtnChar[],0.0,10
ClsNmCtnEscap,0.0,10
ParamTypCtnByte[],0.0,10
ParamTypCtnStringbuilder,0.0,10
ClasEscapInvkd,0.0,10
MtdMatchInvkd,0.0,10
MtdNmStrtPut,0.0,10
sanitizer,0.0,10
ParamTypEqRtnTyp,0.01,11
RtnTypStr,0.0092857142857142,11
MtdReplacInvkd,0.005,11
MtdNmCtnReplac,0.0035714285714285,11
MtdNmCtnEncodNotEncoding,0.0028571428571428,11
MtdNmCtnSaniti,0.0028571428571428,11
MtdNmStrtHas,0.0,11
MtdNmCtnStrip,0.0,11
MtdNmCtnUnescape,0.0,11
MtdNmCtnVerif,0.0,11
ParamTypCtnStr,0.0,11
ParamDfRtn,0.0,11
MtdModPUBLIC,0.0,11
ParamTypCtnCharsequence,0.0,11
MtdEscapInvkd,0.0,11
ClsSTATIC,0.0,11
ClasRegexInvkd,0.0,11
ClsNmEndsEncoder,0.0,11
MtdNmCtnEscapeNotUnescape,0.0,11
ClsNmCtnEncod,0.0,11
ClsPUBLIC,0.0,11
MtdStripInvkd,0.0,11
ClasSanitiInvkd,0.0,11
MtdNmCtnRegex,0.0,11
ClasEncodInvkd,0.0,11
ImplicitMtd,0.0,11
MtdConstructor,0.0,11
MtdNmStrtSet,0.0,11
RtnTypCharsequence,0.0,11
ClsNmCtnSaniti,0.0,11
MtdEncodInvkd,0.0,11
ClsFINAL,0.0,11
ClsNmCtnValid,0.0,11
ParamTypCtnChar[],0.0,11
RtnTypByte[],0.0,11
MtdRegexInvkd,0.0,11
MtdSanitiInvkd,0.0,11
MtdCtnParams,0.0,11
ClsNmCtnPage,0.0,11
MtdModFINAL,0.0,11
MtdNmStrtGet,0.0,11
ClasEscapInvkd,0.0,11
ClsNmCtnEscap,0.0,11
ParamTypCtnByte[],0.0,11
ParamTypCtnStringbuilder,0.0,11
MtdNmStrtPut,0.0,11
MtdMatchInvkd,0.0,11
sanitizer,0.0,11
MtdModSTATIC,-0.0035714285714285,11
ParamTypEqRtnTyp,0.0114285714285714,12
RtnTypStr,0.0078571428571428,12
MtdNmCtnReplac,0.005,12
MtdNmCtnEncodNotEncoding,0.005,12
MtdReplacInvkd,0.0028571428571428,12
MtdNmCtnSaniti,0.0014285714285714,12
MtdNmStrtHas,0.0,12
MtdNmCtnStrip,0.0,12
MtdNmCtnUnescape,0.0,12
MtdNmCtnVerif,0.0,12
ParamTypCtnStr,0.0,12
ParamDfRtn,0.0,12
MtdModPUBLIC,0.0,12
ParamTypCtnCharsequence,0.0,12
MtdEscapInvkd,0.0,12
ClsSTATIC,0.0,12
ClasRegexInvkd,0.0,12
ClsNmEndsEncoder,0.0,12
MtdNmCtnEscapeNotUnescape,0.0,12
ClsNmCtnEncod,0.0,12
ClsPUBLIC,0.0,12
MtdStripInvkd,0.0,12
ClasSanitiInvkd,0.0,12
MtdNmCtnRegex,0.0,12
ClasEncodInvkd,0.0,12
ImplicitMtd,0.0,12
MtdConstructor,0.0,12
MtdNmStrtSet,0.0,12
RtnTypCharsequence,0.0,12
ClsNmCtnSaniti,0.0,12
MtdEncodInvkd,0.0,12
ClsFINAL,0.0,12
ClsNmCtnValid,0.0,12
ParamTypCtnChar[],0.0,12
RtnTypByte[],0.0,12
MtdRegexInvkd,0.0,12
MtdSanitiInvkd,0.0,12
MtdCtnParams,0.0,12
ClsNmCtnPage,0.0,12
